trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.7, 'e': 0.9978267458287945}",20,10,9.243138464023902,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
43,False,"{'a': 0.7, 'e': 0.9977220653068037}",25,0,-44.05637969358698,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
44,False,"{'a': 0.7, 'e': 0.9976149255001993}",20,0,-112.47625030978608,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
45,False,"{'a': 0.7, 'e': 0.9975053266730701}",20,0,-70.05628071643059,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
46,False,"{'a': 0.7, 'e': 0.9973932690955664}",20,0,-70.49711012438492,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
47,False,"{'a': 0.7, 'e': 0.9972787530438985}",35,5,-26.974343775279316,"{0: 26, 1: 0, 2: 2, 3: 2, 4: 0}",1
48,False,"{'a': 0.7, 'e': 0.9971617788003372}",30,0,-314.5690862633668,"{0: 15, 1: 4, 2: 4, 3: 1, 4: 6}",0
49,False,"{'a': 0.7, 'e': 0.9970423466532122}",35,0,-123.74824375214088,"{0: 21, 1: 6, 2: 6, 3: 1, 4: 1}",0
50,False,"{'a': 0.7, 'e': 0.9969204568969118}",35,0,-234.02072527763727,"{0: 20, 1: 3, 2: 6, 3: 3, 4: 3}",0
51,False,"{'a': 0.7, 'e': 0.9967961098318819}",25,0,-149.59235328699845,"{0: 14, 1: 1, 2: 8, 3: 0, 4: 2}",0
52,False,"{'a': 0.7, 'e': 0.9966693057646256}",25,0,-150.76732746623367,"{0: 12, 1: 3, 2: 7, 3: 2, 4: 1}",0
53,False,"{'a': 0.7, 'e': 0.9965400450077021}",20,0,-94.34066486608421,"{0: 10, 1: 3, 2: 5, 3: 2, 4: 0}",0
54,False,"{'a': 0.7, 'e': 0.9964083278797263}",25,0,-82.05534145062978,"{0: 16, 1: 2, 2: 5, 3: 2, 4: 0}",0
55,False,"{'a': 0.7, 'e': 0.9962741547053676}",30,0,-196.26678349058315,"{0: 14, 1: 5, 2: 8, 3: 1, 4: 2}",0
56,False,"{'a': 0.7, 'e': 0.9961375258153493}",35,0,-116.47544420942853,"{0: 23, 1: 3, 2: 7, 3: 1, 4: 1}",0
57,False,"{'a': 0.7, 'e': 0.995998441546448}",30,0,-180.97855665161077,"{0: 19, 1: 2, 2: 5, 3: 1, 4: 3}",0
58,False,"{'a': 0.7, 'e': 0.9958569022414925}",20,0,-58.240259193361794,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
59,False,"{'a': 0.7, 'e': 0.9957129082493628}",20,0,-108.45198308615564,"{0: 13, 1: 3, 2: 1, 3: 1, 4: 2}",0
